product_id,wine_type,wine_name,wine_origin,rating_avg,rating_num,price_current,price_prediscount,discount_nom,savings_percent,user_id,event_type,event_strength,user_weighted_sum
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,372752,like,1.5,14.0
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,314317,view,1.0,15.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,798639,view,1.0,13.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,287430,comment,3.0,15.0
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,439922,like,1.5,13.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,324144,like,1.5,11.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,385606,like,1.5,7.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,916954,rate,2.0,15.0
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,890340,like,1.5,6.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,121711,view,1.0,6.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15.0,39,$23.01,59.0,684501,comment,3.0,15.0
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,372752,like,1.5,14.0
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,314317,view,1.0,15.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,798639,view,1.0,13.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,287430,comment,3.0,15.0
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,439922,like,1.5,13.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,324144,like,1.5,11.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,385606,like,1.5,7.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,916954,rate,2.0,15.0
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,890340,like,1.5,6.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,121711,view,1.0,6.5
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,,684501,comment,3.0,15.0
