product_id,wine_type,wine_name,wine_origin,rating_avg,rating_num,price_current,price_prediscount,discount_nom,savings_percent
1308115,Bordeaux Red Blends,Chateau Cos d'Estournel (Futures Pre-Sale) 2022,"St. Estephe, Bordeaux, France",0.0,0,,249,,
1145574,Bordeaux Red Blends,Chateau Latour (1 Bottle in OWC) 2010,"Pauillac, Bordeaux, France",0.0,0,,"1,499",,
583739,Bordeaux Red Blends,Chateau Lafite Rothschild 2019,"Pauillac, Bordeaux, France",4.7,25,,989,,
202370,Bordeaux Red Blends,Chateau Haut-Brion 2016,"Pessac-Leognan, Bordeaux, France",4.2,26,,789,,
1307908,Bordeaux Red Blends,Chateau Lafite Rothschild (Futures Pre-Sale) 2022,"Pauillac, Bordeaux, France",0.0,0,,759,,
1198881,Tempranillo,Bodegas Muga Aro 2019,"Rioja, Spain",0.0,0,,389,,
1308699,Bordeaux Red Blends,Chateau Pichon Longueville Comtesse de Lalande (Futures Pre-Sale) 2022,"Pauillac, Bordeaux, France",0.0,0,,244,,
1308014,Bordeaux Red Blends,Chateau Mouton Rothschild (Futures Pre-Sale) 2022,"Pauillac, Bordeaux, France",0.0,0,,699,,
962513,Pinot Noir,Louis Latour Gevrey-Chambertin 2019,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",5.0,23,99,107,$7.01,7
933227,Pinot Noir,Louis Latour Nuits-Saint-Georges 2019,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",5.0,20,114,99,$7.01,6
980688,Pinot Noir,Louis Latour Vosne-Romanee 2019,"Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",5.0,20,42,122,$2.01,4
1452957,Pinot Noir,Domaine Roux Pere & Fils Chambolle-Musigny Vieilles Vignes 2021,"Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",5.0,13,169,99,$10.01,6
1442452,Tempranillo,Bodegas Lan Xtreme Ecologico Crianza 2019,"Rioja, Spain",5.0,9,129,19,$18.01,12
1298794,Nebbiolo,Rocca Giovanni Barolo 2019,"Barolo, Piedmont, Italy",5.0,20,15,41,$23.01,59
1424929,Sangiovese,La Lecciaia Brunello di Montalcino 2017,"Montalcino, Tuscany, Italy",5.0,17,,45,,
1477011,Barbera,Coppo Camp du Rouss Barbera d'Asti 2020,"Asti, Piedmont, Italy",5.0,19,,24,,
1098418,Pinot Noir,Louis Latour Corton Clos de la Vigne au Saint Grand Cru 2019,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",5.0,13,,180,,
1194943,Rhone Red Blends,M. Chapoutier Chateauneuf-du-Pape La Bernardine 2020,"Chateauneuf-du-Pape, Rhone, France",5.0,21,,64,,
1448632,Tempranillo,Emilio Moro Finca Resalso 2022,"Ribera del Duero, Spain",5.0,12,,14,,
1013392,Sangiovese,Bibi Graetz Testamatta 2020,"Tuscany, Italy",5.0,14,,119,,
1530203,Rhone Red Blends,Domaine du Pere Caboche Vin De Pays de Vaucluse Rouge 2022,France,5.0,12,,11,,
982033,Pinot Noir,Louis Latour Volnay En Chevret Premier Cru 2019,"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",5.0,21,,148,,
1301837,Barbera,Coppo Nizza Pomorosso 2019,"Asti, Piedmont, Italy",5.0,18,,59,,
1485882,Pinot Noir,Domaine Roux Pere & Fils Les Cotilles Pinot Noir 2022,"Vin de France, France",5.0,14,,15,,
1340075,Pinot Noir,Domaine Roux Pere & Fils Nuits-Saint-Georges 2021,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",5.0,20,,61,,
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,,39,,
1351675,Bordeaux Red Blends,Pym-Rae Tesseron Estate 2018,"Mt. Veeder, Napa Valley, California",5.0,21,,369,,
786281,Rhone Red Blends,Gerard Bertrand Clos d'Ora Rouge 2017,"Minervois La Liviniere, Minervois, Languedoc, South of France, France",5.0,7,,259,,
1255275,Other Red Blends,Rocca Giovanni Langhe Rosso Rucat 2021,"Langhe, Piedmont, Italy",5.0,19,,17,,
1381699,Pinot Noir,Clos Henri Waimaunga Pinot Noir 2020,"Marlborough, New Zealand",5.0,17,,34,,
1393334,Grenache,Domaine des Peres de l'Eglise Chateauneuf-du-Pape Heritage de Pollus 2019,"Chateauneuf-du-Pape, Rhone, France",5.0,6,,61,,
648793,Bordeaux Red Blends,Pym-Rae Tesseron Estate 2016,"Mt. Veeder, Napa Valley, California",5.0,22,,339,,
1463252,Rhone Red Blends,La Pena de Espana Tinto 2021,"Valencia, Spain",5.0,18,,11,,
1278494,Pinot Noir,Cono Sur Bicicleta Pinot Noir 2021,Chile,0.0,0,7,7,$1.00,11
510367,Cabernet Sauvignon,Two Vines Cabernet Sauvignon,Washington,3.7,158,8,7,$1.01,10
813553,Cabernet Sauvignon,Stone Cellars Cabernet Sauvignon 2018,California,3.3,7,8,7,$1.01,10
907837,Cabernet Sauvignon,Vino de Eyzaguirre Cabernet Sauvignon 2020,"Colchagua Valley, Rapel Valley, Chile",0.0,0,,7,,
96553,Cabernet Sauvignon,Stone Cellars Cabernet Sauvignon,Spain,3.6,29,,7,,
1268974,Malbec,Trapiche Alaris Malbec 2021,Argentina,0.0,0,,7,,
874173,Merlot,Stone Cellars Merlot 2020,California,0.0,0,,7,,
964937,Tempranillo,El Coto Crianza (375ML half-bottle) 2018,"Rioja, Spain",4.0,8,,7,,
773319,Cabernet Sauvignon,Fetzer Cabernet Sauvignon,Other U.S.,3.7,12,,8,,
1153834,Cabernet Sauvignon,Cono Sur Bicicleta Cabernet Sauvignon 2021,Chile,0.0,0,,7,,
1271465,Montepulciano,Donini Montepulciano d'Abruzzo 2021,"Abruzzo, Italy",0.0,0,,7,,
124739,Cabernet Sauvignon,Pepperwood Grove Cabernet Sauvignon,Chile,3.5,216,,8,,
124742,Merlot,Pepperwood Grove Merlot,Chile,3.8,113,,8,,
963872,Syrah/Shiraz,Oxford Landing Shiraz 2019,"South Australia, Australia",0.0,0,,8,,
124735,Pinot Noir,Pepperwood Grove Pinot Noir,Chile,3.6,275,,8,,
1254625,Cabernet Sauvignon,Avalon Lodi Cabernet Sauvignon 2021,"Lodi, California",0.0,0,,8,,
745564,Merlot,Vino de Eyzaguirre Merlot 2019,"Colchagua Valley, Rapel Valley, Chile",3.7,6,,8,,
721302,Bonarda,Altos las Hormigas Colonia Las Liebres Bonarda 2020,Argentina,3.7,56,,10,,
1190021,Rhone Red Blends,La Vieille Ferme Rouge 2021,France,4.1,15,,8,,
1381604,Montepulciano,Casata Parini Montepulciano d'Abruzzo 2022,"Abruzzo, Italy",4.8,12,,8,,
1463330,Merlot,Vino de Eyzaguirre Merlot 2022,"Colchagua Valley, Rapel Valley, Chile",0.0,0,,8,,
1214931,Merlot,Oxford Landing Merlot 2021,"South Australia, Australia",0.0,0,,8,,
1091106,Tempranillo,Dominio de Eguren Protocolo Tinto 2020,Spain,3.8,40,,10,,
988044,Cabernet Sauvignon,Avalon Lodi Cabernet Sauvignon 2020,"Lodi, California",3.7,6,,8,,
1241942,Merlot,Indaba Merlot 2022,South Africa,0.0,0,,8,,
583740,Bordeaux Red Blends,Chateau Lafite Rothschild (1.5 Liter Magnum) 2019,"Pauillac, Bordeaux, France",0.0,0,1499,"1,989",$100.01,6
1145574,Bordeaux Red Blends,Chateau Latour (1 Bottle in OWC) 2010,"Pauillac, Bordeaux, France",0.0,0,,"1,499",,
849151,Pinot Noir,Domaine Ponsot Clos de la Roche Grand Cru Vieilles Vignes (1.5 Liter Magnum) 2016,"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0,,"1,600",,
1017643,Bordeaux Red Blends,Chateau Lafite Rothschild (1.5 Liter Futures Pre-Sale) 2021,"Pauillac, Bordeaux, France",0.0,0,,"1,249",,
1017489,Bordeaux Red Blends,Chateau Haut-Brion (1.5 Liter Futures Pre-Sale) 2021,"Pessac-Leognan, Bordeaux, France",0.0,0,,"1,119",,
1017476,Bordeaux Red Blends,Chateau Margaux (1.5 Liter Futures Pre-Sale) 2021,"Margaux, Bordeaux, France",0.0,0,,"1,119",,
1017556,Bordeaux Red Blends,Chateau Mouton Rothschild (1.5 Liter Futures Pre-Sale) 2021,"Pauillac, Bordeaux, France",0.0,0,,"1,119",,
1017557,Bordeaux Red Blends,Chateau Cheval Blanc (1.5 Liter Futures Pre-Sale) 2021,"St. Emilion, Bordeaux, France",0.0,0,,"1,074",,
583739,Bordeaux Red Blends,Chateau Lafite Rothschild 2019,"Pauillac, Bordeaux, France",4.7,25,,989,,
202479,Bordeaux Red Blends,Chateau Mouton Rothschild 2016,"Pauillac, Bordeaux, France",4.5,54,,949,,
430244,Syrah/Shiraz,Torbreck The Laird 2013,"Barossa Valley, Barossa, South Australia, Australia",0.0,0,,869,,
202370,Bordeaux Red Blends,Chateau Haut-Brion 2016,"Pessac-Leognan, Bordeaux, France",4.2,26,,789,,
583624,Bordeaux Red Blends,Chateau Cheval Blanc 2019,"St. Emilion, Bordeaux, France",0.0,0,,789,,
1307908,Bordeaux Red Blends,Chateau Lafite Rothschild (Futures Pre-Sale) 2022,"Pauillac, Bordeaux, France",0.0,0,,759,,
783455,Bordeaux Red Blends,Joseph Phelps Insignia (1.5 Liter Magnum) 2018,"Napa Valley, California",0.0,0,,749,,
1307934,Bordeaux Red Blends,Chateau Ausone (Futures Pre-Sale) 2022,"St. Emilion, Bordeaux, France",0.0,0,,749,,
1017295,Bordeaux Red Blends,Chateau Ausone (Futures Pre-Sale) 2021,"St. Emilion, Bordeaux, France",0.0,0,,749,,
583806,Bordeaux Red Blends,Chateau Mouton Rothschild 2019,"Pauillac, Bordeaux, France",4.2,5,,729,,
1308000,Bordeaux Red Blends,Chateau Margaux (Futures Pre-Sale) 2022,"Margaux, Bordeaux, France",0.0,0,,709,,
1309901,Bordeaux Red Blends,Chateau Haut-Brion (Futures Pre-Sale) 2022,"Pessac-Leognan, Bordeaux, France",0.0,0,,709,,
1308014,Bordeaux Red Blends,Chateau Mouton Rothschild (Futures Pre-Sale) 2022,"Pauillac, Bordeaux, France",0.0,0,,699,,
1308082,Bordeaux Red Blends,Chateau Cheval Blanc (Futures Pre-Sale) 2022,"St. Emilion, Bordeaux, France",0.0,0,,669,,
955310,Bordeaux Red Blends,Chateau Latour (1 Bottle in OWC) 2014,"Pauillac, Bordeaux, France",0.0,0,,599,,
1017641,Bordeaux Red Blends,Chateau Lafite Rothschild (Futures Pre-Sale) 2021,"Pauillac, Bordeaux, France",0.0,0,,599,,
1017475,Bordeaux Red Blends,Chateau Margaux (Futures Pre-Sale) 2021,"Margaux, Bordeaux, France",0.0,0,,565,,
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15,39,$23.01,59
743121,Cabernet Franc,Sur de los Andes Reserva Cabernet Franc 2017,"Mendoza, Argentina",3.9,466,13,34,$20.01,59
1202359,Bordeaux Red Blends,Chateau Haut Gaudin Bordeaux Superieur 2019,"Bordeaux, France",4.3,93,16,40,$23.01,58
1282310,Tuscan Blends,Falesco Vitiano Rosso 2019,Italy,4.0,18,9,24,$14.01,58
1132926,Rhone Red Blends,Commanderie des Hospitaliers Grenache Syrah Mourvedre 2020,"Languedoc, South of France, France",4.2,56,18,45,$26.01,58
1332095,Bordeaux Red Blends,Chateau Haut Peyruguet 2020,"Bordeaux, France",4.2,51,14,35,$20.01,57
758326,Rhone Red Blends,Cave de Roquebrun Saint Chinian Roquebrun La Granges des Combes 2019,"Saint-Chinian, Languedoc, South of France, France",4.6,48,17,38,$20.01,53
538677,Rhone Red Blends,Domaine de Fontsainte Corbieres Rouge 2018,"Corbieres, Languedoc, South of France, France",3.6,36,10,22,$11.02,50
1204256,Bordeaux Red Blends,Chateau Bellevue Peycharneau Bordeaux Superieur 2020,"Bordeaux, France",4.3,84,19,40,$20.01,50
1233481,Bordeaux Red Blends,Chateau Haut-Colombier 2020,"Bordeaux, France",4.3,59,19,40,$20.01,50
1170743,Bordeaux Red Blends,Chateau La Perriere Lussac St.-Emilion 2020,"Bordeaux, France",4.5,51,23,45,$21.01,47
938102,Malbec,Sur de los Andes Reserva Malbec 2018,"Mendoza, Argentina",4.2,189,14,28,$13.01,46
724107,Bordeaux Red Blends,Sur de los Andes Malbec Cabernet Sauvignon Premium Blend 2017,"Mendoza, Argentina",3.9,757,14,28,$13.01,46
877817,Other Red Blends,Bodegas Zerran Tinto 2019,"Montsant, Spain",0.0,0,9,18,$8.01,45
1318716,Cabernet Sauvignon,Shannon Ridge High Elevation Cabernet Sauvignon 2021,"Lake County, North Coast, California",3.6,11,13,25,$11.01,44
1068322,Petite Sirah,Shannon Ridge High Elevation Petite Sirah 2020,"Lake County, North Coast, California",3.8,33,13,25,$11.01,44
1254692,Cabernet Sauvignon,Chateau La Freynelle Cabernet Sauvignon 2020,"Bordeaux, France",4.0,53,17,32,$14.01,44
987794,Cabernet Sauvignon,Vigilance Cabernet Sauvignon 2020,"Red Hills, Lake County, North Coast, California",3.4,51,13,25,$11.01,44
1321890,Pinot Noir,Lincourt Rancho Santa Rosa Pinot Noir 2021,"Sta. Rita Hills, Santa Barbara, Central Coast, California",0.0,0,24,45,$20.01,44
617652,Other Red Blends,Vigilance Cimarron 2017,"Lake County, North Coast, California",3.7,135,13,25,$11.01,44
654906,Bordeaux Red Blends,Chateau Blaignan 2018,"Medoc, Bordeaux, France",4.3,58,22,40,$17.01,43
1236616,Cabernet Sauvignon,Shannon Ridge Buck Shack Bourbon Barrel Cabernet Sauvignon 2020,"Lake County, North Coast, California",3.8,15,19,35,$15.01,43
1497414,Bordeaux Red Blends,Chateau Langlet 2020,"Graves, Bordeaux, France",4.8,18,22,40,$17.01,43
414523,Tempranillo,Benjamin Romeo Predicador Tinto 2014,"Rioja, Spain",3.8,19,21,38,$16.01,42
984889,Tempranillo,Finca Villacreces Pruno 2019,"Ribera del Duero, Spain",3.5,5,26,45,$18.01,40
1077742,Sangiovese,Carpineto Chianti Classico Riserva 2018,"Chianti Classico, Chianti, Tuscany, Italy",0.0,0,59,28,$2.01,3
1487239,Malbec,Dona Paula Los Cardos Malbec 2022,"Mendoza, Argentina",0.0,0,29,13,$10.01,25
1498938,Cabernet Sauvignon,Dona Paula Estate Cabernet Sauvignon 2021,"Mendoza, Argentina",0.0,0,18,15,$1.01,5
1458784,Sangiovese,Avignonesi Rosso di Montepulciano 2020,"Montepulciano, Tuscany, Italy",0.0,0,18,19,$3.01,14
1507865,Rhone Red Blends,Guigal Chateauneuf-du-Pape 2018,"Chateauneuf-du-Pape, Rhone, France",0.0,0,22,62,$3.01,12
1384352,Merlot,Francis Ford Coppola Diamond Collection Merlot 2021,California,0.0,0,37,19,$2.01,5
1478237,Pinot Noir,MacRostie Sonoma Coast Pinot Noir 2022,"Sonoma Coast, Sonoma County, California",0.0,0,17,39,$4.00,18
1526864,Cabernet Sauvignon,Rodney Strong Knights Valley Estate Cabernet Sauvignon 2020,"Knights Valley, Sonoma County, California",0.0,0,,40,,
1412731,Grenache,Borsao Tres Picos Garnacha 2020,"Campo de Borja, Spain",0.0,0,,20,,
1157466,Tempranillo,Faustino I Gran Reserva 2011,"Rioja, Spain",3.9,8,,37,,
1288292,Tempranillo,Bodegas Lan Rioja Gran Reserva 2016,"Rioja, Spain",4.9,19,,23,,
1232190,Malbec,Zuccardi Q Malbec 2021,"Uco Valley, Mendoza, Argentina",3.8,13,,21,,
1393318,Cabernet Sauvignon,Napa Cellars Cabernet Sauvignon 2020,"Napa Valley, California",0.0,0,,31,,
1059479,Grenache,Bodegas Breca Garnacha 2019,"Calatayud, Spain",4.0,89,,22,,
1241655,Tempranillo,Bodegas Ramirez de la Piscina Reserva 2017,"Rioja, Spain",3.7,13,,26,,
1097658,Tempranillo,Bodegas Volver La Mancha Single Vineyard Tempranillo 2019,"La Mancha, Spain",4.0,29,,18,,
1353811,Cabernet Sauvignon,Les Jamelles Cabernet Sauvignon 2021,"Pays d’Oc, South of France, France",0.0,0,,13,,
1386263,Pinot Noir,Averaen Willamette Valley Pinot Noir 2022,"Willamette Valley, Oregon",0.0,0,,26,,
962750,Tempranillo,La Rioja Alta Vina Alberdi Reserva Tinto 2018,"Rioja, Spain",3.9,171,,26,,
1463353,Other Red Wine,Suertes del Marques 7 Fuentes 2020,"Canary Islands, Spain",0.0,0,,21,,
1487480,Pinot Noir,LOLA Wines California Pinot Noir 2021,California,0.0,0,,24,,
1515695,Sangiovese,Felsina Berardenga Chianti Classico Riserva 2020,"Chianti Classico, Chianti, Tuscany, Italy",0.0,0,,40,,
1136093,Tempranillo,Protos Tinto Fino 2020,"Ribera del Duero, Spain",4.4,28,,17,,
1500366,Grenache,Zestos Old Vine Garnacha 2021,"Vinos de Madrid, Spain",0.0,0,,12,,
1452925,Malbec,Layer Cake Malbec 2022,"Mendoza, Argentina",0.0,0,,21,,
75622,Merlot,Conn Creek Limited Release Merlot 2001,"Napa Valley, California",0.0,0,56,31,$3.01,5
99015,Bordeaux Red Blends,Dominus Estate 2006,"Yountville, Napa Valley, California",4.4,25,64,359,$25.02,28
539227,Tempranillo,Vinedos de Paganos El Puntido Gran Reserva 2007,"Rioja, Spain",4.0,48,39,69,$5.01,11
1195014,Tempranillo,Vinedos de Paganos El Puntido Gran Reserva 2008,"Rioja, Spain",0.0,0,419,84,$60.00,13
117139,Bordeaux Red Blends,Dominus Estate 2009,"Yountville, Napa Valley, California",4.5,20,109,349,$38.01,26
167452,Tempranillo,Bodegas Ramon Bilbao Gran Reserva 2010,"Rioja, Spain",4.4,10,28,39,$3.01,9
1067952,Tempranillo,R. Lopez de Heredia Rioja Vina Tondonia Reserva 2010,"Rioja, Spain",4.0,61,32,60,$9.02,21
1145574,Bordeaux Red Blends,Chateau Latour (1 Bottle in OWC) 2010,"Pauillac, Bordeaux, France",0.0,0,,"1,499",,
1197496,Tempranillo,Bodegas Montecillo Gran Reserva 2011,"Rioja, Spain",0.0,0,,34,,
1040501,Tempranillo,Conde de Hervias Rioja 2011,"Rioja, Spain",0.0,0,,84,,
976292,Tempranillo,Marques de Murrieta Castillo Ygay Gran Reserva Especial 2011,"Rioja, Spain",4.0,9,,289,,
1157466,Tempranillo,Faustino I Gran Reserva 2011,"Rioja, Spain",3.9,8,,37,,
517579,Grenache,Cirillo 1850 Grenache 2011,"Barossa Valley, Barossa, South Australia, Australia",4.9,6,,90,,
831469,Other Red Blends,Guelbenzu EVO 2011,Spain,0.0,0,,31,,
249844,Sangiovese,Castello di Albola Il Solatio Chianti Classico Gran Selezione 2011,"Chianti Classico, Chianti, Tuscany, Italy",0.0,0,,53,,
653325,Other Red Blends,Massaya Gold Reserve Rouge 2011,Lebanon,3.9,8,,45,,
1236629,Tempranillo,R. Lopez de Heredia Rioja Vina Tondonia Reserva 2011,"Rioja, Spain",4.1,12,,59,,
259587,Cabernet Sauvignon,Heitz Cellar Martha's Vineyard Cabernet Sauvignon (1.5 Liter Magnum) 2012,"Napa Valley, California",0.0,0,,479,,
970951,Bordeaux Red Blends,Movia Veliko Rosso 2012,Slovenia,0.0,0,,68,,
1076543,Other Red Blends,Massaya Gold Reserve Rouge 2012,Lebanon,0.0,0,,79,,
162179,Bordeaux Red Blends,Von Strasser Sori Bricco Vineyard Red 2012,"Diamond Mountain District, Napa Valley, California",0.0,0,,79,,
565019,Tempranillo,Remelluri Granja Rioja Gran Reserva 2012,"Rioja, Spain",0.0,0,,148,,
750420,Other Red Blends,La Antigua Clasico Reserva 2012,"Rioja, Spain",3.6,20,,32,,
676789,Tempranillo,Carlos Serres Gran Reserva 2012,"Rioja, Spain",4.0,24,,34,,
156097,Cabernet Sauvignon,Balnaves Cabernet Sauvignon 2012,"Coonawarra, South Australia, Australia",3.9,20,,42,,
1383579,Other Red Blends,Allegrini Valpolicella 2022,"Valpolicella, Veneto, Italy",0.0,0,21,17,$3.01,12
1487031,Malbec,Bodega Cuarto Dominio Tolentino Single Vineyard Malbec 2022,"Mendoza, Argentina",0.0,0,12,17,$1.01,7
1291421,Cabernet Sauvignon,Root 1 Cabernet Sauvignon 2022,"Colchagua Valley, Rapel Valley, Chile",0.0,0,,9,,
1308132,Bordeaux Red Blends,Chateau Dauzac (Futures Pre-Sale) 2022,"Margaux, Bordeaux, France",0.0,0,,52,,
1308000,Bordeaux Red Blends,Chateau Margaux (Futures Pre-Sale) 2022,"Margaux, Bordeaux, France",0.0,0,,709,,
1457628,Pinot Noir,Joel Gott California Pinot Noir 2022,California,0.0,0,,19,,
1338416,Pinot Noir,Mon Frere Pinot Noir 2022,California,0.0,0,,13,,
